approach;total_size;partition;partition_size
Sequence;256;('Admission NC', 'Admission NC', 'CRP');67
Sequence;256;('ER Triage', 'Leucocytes', 'LacticAcid');12
Sequence;256;('ER Sepsis Triage', 'IV Antibiotics', 'ER Triage');4
Sequence;256;('ER Sepsis Triage', 'LacticAcid', 'Leucocytes');83
Sequence;256;('LacticAcid', 'Admission NC', 'Admission NC');18
Sequence;256;('ER Sepsis Triage', 'IV Antibiotics', 'IV Liquid');15
Sequence;256;('CRP', 'Leucocytes', 'Release C');8
Sequence;256;('IV Antibiotics', 'IV Liquid', 'Leucocytes');3
Sequence;256;('CRP', 'Leucocytes', 'Release D');11
Sequence;256;('LacticAcid', 'Leucocytes', 'IV Antibiotics');34
Sequence;256;('IV Liquid', 'CRP', 'LacticAcid');15
Sequence;256;('IV Antibiotics', 'Admission NC', 'LacticAcid');18
Sequence;256;('Leucocytes', 'Admission NC', 'Release A');25
Sequence;256;('LacticAcid', 'CRP', 'ER Triage');7
Sequence;256;('CRP', 'ER Triage', 'ER Sepsis Triage');15
Sequence;256;('ER Registration', 'Leucocytes', 'LacticAcid');7
Sequence;256;('Admission NC', 'Leucocytes', 'Admission NC');13
Sequence;256;('Leucocytes', 'IV Antibiotics', 'IV Liquid');10
Sequence;256;('ER Triage', 'LacticAcid', 'CRP');13
Sequence;256;('CRP', 'Leucocytes', 'ER Sepsis Triage');18
Sequence;256;('ER Registration', 'ER Triage', 'LacticAcid');26
Sequence;256;('CRP', 'Admission NC', 'Release A');23
Sequence;256;('Admission NC', 'CRP', 'Admission NC');3
Sequence;256;('CRP', 'Admission NC', 'CRP');53
Sequence;256;('IV Liquid', 'IV Antibiotics', 'Leucocytes');42
Sequence;256;('IV Liquid', 'Admission NC', 'Admission NC');11
Sequence;256;('Leucocytes', 'Release D', 'Return ER');4
Sequence;256;('ER Triage', 'ER Registration', 'ER Sepsis Triage');3
Sequence;256;('Admission NC', 'Leucocytes', 'Release A');10
Sequence;256;('ER Registration', 'ER Sepsis Triage', 'IV Liquid');3
Sequence;256;('CRP', 'IV Antibiotics', 'IV Liquid');17
Sequence;256;('LacticAcid', 'Admission IC', 'CRP');3
Sequence;256;('LacticAcid', 'Leucocytes', 'Leucocytes');31
Sequence;256;('Leucocytes', 'LacticAcid', 'Admission IC');6
Sequence;256;('Admission IC', 'CRP', 'LacticAcid');18
Sequence;256;('CRP', 'Leucocytes', 'IV Liquid');43
Sequence;256;('IV Liquid', 'ER Triage', 'ER Sepsis Triage');19
Sequence;256;('ER Registration', 'IV Liquid', 'ER Triage');20
Sequence;256;('LacticAcid', 'Admission NC', 'Release A');14
Sequence;256;('Leucocytes', 'Admission IC', 'CRP');5
Sequence;256;('LacticAcid', 'Leucocytes', 'LacticAcid');32
Sequence;256;('CRP', 'LacticAcid', 'LacticAcid');26
Sequence;256;('LacticAcid', 'LacticAcid', 'Leucocytes');23
Sequence;256;('IV Liquid', 'Admission NC', 'CRP');13
Sequence;256;('IV Antibiotics', 'LacticAcid', 'Leucocytes');18
Sequence;256;('CRP', 'ER Sepsis Triage', 'IV Liquid');23
Sequence;256;('CRP', 'Leucocytes', 'ER Registration');7
Sequence;256;('Leucocytes', 'ER Registration', 'ER Triage');12
Sequence;256;('Leucocytes', 'CRP', 'ER Sepsis Triage');26
Sequence;256;('Leucocytes', 'ER Triage', 'ER Sepsis Triage');11
Sequence;256;('ER Registration', 'LacticAcid', 'CRP');3
Sequence;256;('LacticAcid', 'LacticAcid', 'IV Liquid');4
Sequence;256;('CRP', 'Leucocytes', 'ER Triage');8
Sequence;256;('CRP', 'LacticAcid', 'CRP');35
Sequence;256;('LacticAcid', 'CRP', 'LacticAcid');32
Sequence;256;('Admission NC', 'Admission IC', 'Leucocytes');7
Sequence;256;('Admission IC', 'Leucocytes', 'LacticAcid');10
Sequence;256;('ER Registration', 'ER Triage', 'IV Liquid');9
Sequence;256;('LacticAcid', 'Admission NC', 'Release B');4
Sequence;256;('CRP', 'CRP', 'CRP');20
Sequence;256;('Leucocytes', 'LacticAcid', 'Leucocytes');35
Sequence;256;('Admission IC', 'Leucocytes', 'CRP');26
Sequence;256;('LacticAcid', 'ER Sepsis Triage', 'IV Liquid');23
Sequence;256;('IV Liquid', 'IV Antibiotics', 'Admission IC');28
Sequence;256;('ER Registration', 'LacticAcid', 'Leucocytes');7
Sequence;256;('Leucocytes', 'CRP', 'ER Triage');9
Sequence;256;('LacticAcid', 'CRP', 'CRP');11
Sequence;256;('CRP', 'CRP', 'LacticAcid');12
Sequence;256;('ER Sepsis Triage', 'ER Registration', 'ER Triage');5
Sequence;256;('Admission NC', 'Admission NC', 'IV Liquid');4
Sequence;256;('ER Registration', 'CRP', 'Leucocytes');10
Sequence;256;('LacticAcid', 'LacticAcid', 'LacticAcid');7
Sequence;256;('CRP', 'Leucocytes', 'Release B');10
Sequence;256;('Leucocytes', 'ER Sepsis Triage', 'IV Antibiotics');3
Sequence;256;('IV Liquid', 'Admission NC', 'Leucocytes');20
Sequence;256;('Admission NC', 'LacticAcid', 'Admission NC');6
Sequence;256;('Admission NC', 'LacticAcid', 'Leucocytes');8
Sequence;256;('CRP', 'Release D', 'Return ER');6
Sequence;256;('ER Sepsis Triage', 'IV Antibiotics', 'Admission NC');22
Sequence;256;('Leucocytes', 'CRP', 'Admission IC');11
Sequence;256;('CRP', 'Admission IC', 'Leucocytes');7
Sequence;256;('CRP', 'ER Sepsis Triage', 'Admission NC');4
Sequence;256;('ER Sepsis Triage', 'Admission NC', 'CRP');5
Sequence;256;('LacticAcid', 'CRP', 'ER Sepsis Triage');9
Sequence;256;('IV Antibiotics', 'Admission IC', 'CRP');13
Sequence;256;('ER Triage', 'CRP', 'Leucocytes');28
Sequence;256;('IV Antibiotics', 'Admission IC', 'Leucocytes');12
Sequence;256;('IV Antibiotics', 'Leucocytes', 'LacticAcid');22
Sequence;256;('IV Liquid', 'LacticAcid', 'CRP');11
Sequence;256;('Leucocytes', 'CRP', 'ER Registration');13
Sequence;256;('CRP', 'ER Registration', 'ER Triage');14
Sequence;256;('Admission NC', 'Admission IC', 'CRP');4
Sequence;256;('Leucocytes', 'Leucocytes', 'Admission NC');4
Sequence;256;('Leucocytes', 'Leucocytes', 'LacticAcid');12
Sequence;256;('Admission IC', 'CRP', 'Leucocytes');14
Sequence;256;('Leucocytes', 'CRP', 'Release E');3
Sequence;256;('Admission NC', 'Admission NC', 'Admission IC');3
Sequence;256;('Leucocytes', 'Admission NC', 'Admission NC');11
Sequence;256;('IV Liquid', 'ER Sepsis Triage', 'IV Antibiotics');4
Sequence;256;('ER Triage', 'IV Liquid', 'IV Antibiotics');3
Sequence;256;('ER Registration', 'ER Sepsis Triage', 'ER Triage');5
Sequence;256;('ER Registration', 'CRP', 'LacticAcid');4
Sequence;256;('CRP', 'Admission IC', 'CRP');4
Sequence;256;('Leucocytes', 'IV Liquid', 'ER Sepsis Triage');3
Sequence;256;('Leucocytes', 'CRP', 'Release D');9
Sequence;256;('ER Triage', 'LacticAcid', 'Leucocytes');16
Sequence;256;('Leucocytes', 'LacticAcid', 'ER Sepsis Triage');14
Sequence;256;('LacticAcid', 'Admission IC', 'LacticAcid');5
Sequence;256;('LacticAcid', 'ER Sepsis Triage', 'IV Antibiotics');14
Sequence;256;('Leucocytes', 'Admission IC', 'Leucocytes');8
Sequence;256;('Admission NC', 'Admission NC', 'Admission NC');7
Sequence;256;('ER Sepsis Triage', 'IV Antibiotics', 'Admission IC');3
Sequence;256;('Admission NC', 'LacticAcid', 'CRP');9
Sequence;256;('Leucocytes', 'Leucocytes', 'Release A');17
Sequence;256;('LacticAcid', 'IV Antibiotics', 'Admission IC');4
Sequence;256;('CRP', 'Leucocytes', 'Admission IC');7
Sequence;256;('IV Antibiotics', 'IV Liquid', 'Admission IC');3
Sequence;256;('IV Liquid', 'Admission IC', 'CRP');3
Sequence;256;('CRP', 'Release C', 'Return ER');4
Sequence;256;('LacticAcid', 'IV Liquid', 'Admission NC');3
Sequence;256;('ER Triage', 'ER Sepsis Triage', 'Admission NC');7
Sequence;256;('Admission NC', 'Leucocytes', 'LacticAcid');3
Sequence;256;('ER Sepsis Triage', 'Admission NC', 'Release A');4
Sequence;256;('ER Triage', 'IV Liquid', 'Leucocytes');4
Sequence;256;('Admission NC', 'Admission NC', 'Release B');3
Sequence;256;('Admission IC', 'LacticAcid', 'LacticAcid');3
Sequence;256;('ER Sepsis Triage', 'IV Antibiotics', 'LacticAcid');5
Sequence;256;('IV Liquid', 'LacticAcid', 'IV Antibiotics');3
Sequence;256;('CRP', 'ER Sepsis Triage', 'IV Antibiotics');3
Sequence;256;('ER Sepsis Triage', 'Admission NC', 'Leucocytes');4
Sequence;256;('Release A', 'Return ER', 'CRP');3
Sequence;256;('Leucocytes', 'LacticAcid', 'ER Triage');5
Sequence;256;('IV Liquid', 'ER Triage', 'Leucocytes');3
Sequence;256;('LacticAcid', 'Leucocytes', 'ER Triage');3
Sequence;256;('CRP', 'Admission IC', 'LacticAcid');4
